S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
253,2018-08-29,15,1625.00,1177630.00,734.00,722.00,727.00
254,2018-08-28,17,2990.00,2169135.00,732.00,723.00,730.00
255,2018-08-26,1,10.00,7340.00,734.00,734.00,734.00
256,2018-08-23,16,5430.00,3953555.00,732.00,725.00,732.00
257,2018-08-22,21,3710.00,2692520.00,742.00,723.00,730.00
258,2018-08-21,16,3628.00,2641324.00,733.00,725.00,733.00
259,2018-08-20,25,6220.00,4518580.00,734.00,725.00,731.00
260,2018-08-19,16,1450.00,1053220.00,738.00,725.00,736.00
261,2018-08-16,25,4770.00,3507070.00,750.00,727.00,738.00
262,2018-08-15,5,2008.00,1465272.00,740.00,728.00,740.00
263,2018-08-14,15,1890.00,1371940.00,732.00,724.00,726.00
264,2018-08-13,12,2178.00,1581522.00,738.00,721.00,730.00
265,2018-08-12,21,3200.00,2300020.00,725.00,715.00,721.00
266,2018-08-09,11,7355.00,5330025.00,726.00,723.00,726.00
267,2018-08-08,10,3030.00,2195995.00,727.00,724.00,727.00
268,2018-08-07,6,3120.00,2258890.00,725.00,724.00,724.00
269,2018-08-06,3,210.00,151740.00,724.00,721.00,724.00
270,2018-08-05,14,1865.00,1346155.00,729.00,720.00,729.00
271,2018-08-02,16,1710.00,1231400.00,734.00,717.00,720.00
272,2018-08-01,12,1520.00,1094204.00,728.00,716.00,722.00
273,2018-07-31,12,1815.00,1317270.00,730.00,722.00,730.00
274,2018-07-30,11,1580.00,1153850.00,740.00,730.00,730.00
275,2018-07-29,24,4210.00,3050420.00,730.00,724.00,730.00
276,2018-07-26,30,4604.00,3333104.00,741.00,721.00,727.00
277,2018-07-25,17,5132.00,3717973.00,727.00,721.00,727.00
278,2018-07-24,31,23635.00,17107995.00,728.00,720.00,726.00
279,2018-07-23,12,1590.00,1148295.00,733.00,718.00,723.00
280,2018-07-22,16,2010.00,1447170.00,722.00,719.00,719.00
281,2018-07-19,11,1020.00,740630.00,727.00,723.00,727.00
282,2018-07-18,8,3890.00,2808040.00,730.00,719.00,727.00
283,2018-07-17,9,910.00,651520.00,730.00,711.00,730.00
284,2018-07-16,3,450.00,324590.00,724.00,721.00,721.00
285,2018-07-15,9,620.00,446020.00,726.00,718.00,726.00
286,2018-07-12,14,10645.00,7674106.00,725.00,720.00,724.00
287,2018-07-11,50,67100.00,47955792.00,728.00,714.00,725.00
288,2018-07-10,75,16365.00,11685190.00,730.00,710.00,724.00
289,2018-07-09,8,3765.00,2740920.00,728.00,728.00,728.00
290,2018-07-08,26,6032.00,4383286.00,730.00,725.00,730.00
291,2018-07-05,24,6925.00,5022250.00,730.00,720.00,728.00
292,2018-07-04,10,1450.00,1043400.00,722.00,713.00,722.00
293,2018-07-03,18,7796.00,5600129.00,722.00,712.00,717.00
294,2018-07-02,10,3400.00,2449860.00,722.00,719.00,719.00
295,2018-07-01,23,8505.00,6115160.00,729.00,715.00,720.00
296,2018-06-28,26,15050.00,10856330.00,725.00,720.00,723.00
297,2018-06-27,9,1300.00,936310.00,728.00,715.00,725.00
298,2018-06-26,10,3310.00,2391560.00,726.00,720.00,721.00
299,2018-06-25,9,1428.00,1035730.00,727.00,724.00,725.00
300,2018-06-24,4,210.00,152520.00,727.00,726.00,726.00
301,2018-06-21,13,1825.00,1317255.00,730.00,720.00,730.00
302,2018-06-20,6,495.00,357420.00,723.00,722.00,722.00
303,2018-06-19,24,4895.00,3551560.00,735.00,725.00,730.00
304,2018-06-18,15,1335.00,970735.00,730.00,725.00,730.00
305,2018-06-17,11,1287.00,936135.00,730.00,725.00,725.00
306,2018-06-14,23,10890.00,7949820.00,740.00,728.00,734.00
307,2018-06-13,54,10440.00,7626360.00,735.00,727.00,730.00
308,2018-06-12,29,17845.00,13066550.00,740.00,729.00,734.00
309,2018-06-11,39,12470.00,9145410.00,745.00,730.00,738.00
310,2018-06-10,29,24480.00,18016550.00,745.00,732.00,735.00
311,2018-06-07,15,2130.00,1578940.00,750.00,740.00,741.00
312,2018-06-06,15,2520.00,1884130.00,759.00,736.00,759.00
313,2018-06-04,24,4099.00,2984159.00,771.00,723.00,771.00
314,2018-06-03,62,12780.00,9382278.00,753.00,727.00,737.00
315,2018-05-31,40,38180.00,28243255.00,765.00,737.00,756.00
316,2018-05-30,11,1810.00,1371870.00,770.00,755.00,758.00
317,2018-05-29,32,7013.00,5308585.00,775.00,752.00,760.00
318,2018-05-28,14,2288.00,1722892.00,769.00,749.00,760.00
319,2018-05-27,25,3650.00,2722386.00,765.00,741.00,743.00
320,2018-05-24,8,3590.00,2728840.00,764.00,760.00,760.00
321,2018-05-23,19,1782.00,1348593.00,770.00,755.00,765.00
322,2018-05-22,33,5810.00,4430290.00,770.00,753.00,760.00
323,2018-05-21,14,2685.00,2045320.00,766.00,760.00,765.00
324,2018-05-20,19,3075.00,2368955.00,779.00,760.00,767.00
325,2018-05-17,26,8152.00,6252615.00,790.00,765.00,766.00
326,2018-05-16,14,10853.00,8293095.00,770.00,761.00,770.00
327,2018-05-15,10,1410.00,1066340.00,770.00,755.00,762.00
328,2018-05-14,30,8815.00,6711460.00,770.00,760.00,762.00
329,2018-05-10,24,2835.00,2157680.00,766.00,759.00,759.00
330,2018-05-09,10,1740.00,1331680.00,769.00,762.00,767.00
331,2018-05-08,21,5645.00,4327835.00,770.00,765.00,765.00
332,2018-05-07,30,4710.00,3631000.00,779.00,763.00,768.00
333,2018-05-06,20,2060.00,1583320.00,777.00,765.00,766.00
334,2018-05-03,39,6230.00,4812096.00,780.00,770.00,775.00
335,2018-05-02,14,3270.00,2510190.00,790.00,762.00,774.00
336,2018-04-29,21,5500.00,4192910.00,785.00,756.00,760.00
337,2018-04-26,33,7260.00,5609360.00,794.00,765.00,770.00
338,2018-04-25,28,12400.00,9692380.00,799.00,779.00,785.00
339,2018-04-24,27,3005.00,2362150.00,797.00,780.00,780.00
340,2018-04-23,61,15100.00,11888430.00,815.00,772.00,785.00
341,2018-04-22,33,4830.00,3870180.00,818.00,786.00,800.00
342,2018-04-19,85,22360.00,17195140.00,809.00,751.00,792.00
343,2018-04-18,35,7990.00,6063650.00,775.00,750.00,750.00
344,2018-04-17,49,10425.00,7727315.00,765.00,727.00,750.00
345,2018-04-16,17,2460.00,1799090.00,744.00,730.00,735.00
346,2018-04-15,12,650.00,475120.00,740.00,726.00,738.00
347,2018-04-12,24,3835.00,2770887.00,733.00,720.00,733.00
348,2018-04-11,11,340.00,249160.00,747.00,724.00,728.00
349,2018-04-10,33,4195.00,3057315.00,744.00,715.00,733.00
350,2018-04-09,58,12455.00,9116940.00,744.00,721.00,735.00
351,2018-04-08,37,9978.00,7201987.00,734.00,711.00,730.00
352,2018-04-05,35,3495.00,2498135.00,723.00,711.00,720.00
353,2018-04-04,34,6065.00,4312668.00,719.00,705.00,715.00
354,2018-04-03,19,1455.00,1024225.00,714.00,700.00,707.00
355,2018-04-02,36,6765.00,4735815.00,710.00,699.00,701.00
356,2018-04-01,33,11639.00,8127265.00,718.00,690.00,703.00
357,2018-03-29,15,2125.00,1502065.00,716.00,702.00,704.00
358,2018-03-28,36,4705.00,3288695.00,715.00,692.00,707.00
359,2018-03-27,38,7105.00,4978725.00,728.00,687.00,701.00
