S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
306,6/14/2018,44,3956,1273859,324,319,321
307,6/13/2018,35,3924,1252218,322,316,318
308,6/12/2018,29,3235,1035928,323,317,320
309,6/11/2018,44,5594,1785266,326,316,323
310,6/10/2018,63,9920,3149847,327,314,317
311,6/7/2018,39,3481,1144588,336,325,327
312,6/6/2018,24,3379,1135007,340,332,336
313,6/4/2018,44,6154,2011614,331,324,329
314,6/3/2018,73,14980,4957981,336,326,330
315,5/31/2018,42,8381,2838507,340,337,339
316,5/30/2018,56,11065,3743869,340,335,340
317,5/29/2018,53,9698,3277168,342,334,337
318,5/28/2018,52,5764,1932420,347,328,340
319,5/27/2018,46,6118,2031966,335,330,332
320,5/24/2018,34,5963,2000585,338,335,335
321,5/23/2018,46,8116,2724352,340,334,334
322,5/22/2018,59,6973,2356133,340,335,337
323,5/21/2018,60,10925,3694072,340,335,340
324,5/20/2018,45,9261,3153251,344,338,340
325,5/17/2018,42,6983,2384710,343,339,339
326,5/16/2018,29,3039,1034751,344,337,341
327,5/15/2018,29,2916,987956,342,337,339
328,5/14/2018,42,4201,1434612,344,338,341
329,5/10/2018,66,11575,3945761,346,337,343
330,5/9/2018,50,6849,2366426,347,344,344
331,5/8/2018,33,5181,1766629,343,340,343
332,5/7/2018,62,6251,2139147,345,339,343
333,5/6/2018,78,9671,3330659,346,343,343
334,5/3/2018,79,9858,3429602,352,343,346
335,5/2/2018,45,5447,1851294,342,338,341
336,4/29/2018,70,10608,3637412,348,337,344
337,4/26/2018,73,10047,3496945,354,345,348
338,4/25/2018,73,10118,3576536,360,351,352
339,4/24/2018,93,16417,5863413,365,345,359
340,4/23/2018,142,39505,14550792,382,360,360
341,4/22/2018,139,36790,13381295,370,352,369
342,4/19/2018,93,24467,8591259,353,347,351
343,4/18/2018,76,17497,6018812,354,337,345
344,4/17/2018,84,17345,5875128,343,336,337
345,4/16/2018,44,5765,1952451,341,335,338
